dataset_name,n_papers,n_included,n_excluded,n_unlabeled,n_missing_title,n_missing_title_included,n_missing_abstract,n_missing_abstract_included,title_length,abstract_length,n_keywords
output/preprocessed_data/brouwer_s12800_p1.csv,12802,17,12785,0,1,0,812,0,100.38728323699422,1446.7901890329636,
output/preprocessed_data/brouwer_s1600_p1.csv,1602,3,1599,0,0,0,102,0,99.84831460674157,1463.5,
output/preprocessed_data/brouwer_s25600_p1.csv,25602,33,25569,0,3,0,1583,0,100.39504726193266,1450.868252480275,
output/preprocessed_data/brouwer_s3200_p1.csv,3202,5,3197,0,1,0,206,0,100.04341036851967,1458.006870705809,
output/preprocessed_data/brouwer_s48975_p1.csv,48977,62,48915,0,4,0,3004,0,100.22569777650735,1447.7042693509197,
output/preprocessed_data/brouwer_s6400_p1.csv,6402,9,6393,0,1,0,400,0,100.130740393627,1452.5524835988754,
output/preprocessed_data/nudging_s1600_p1.csv,1602,81,1521,0,0,0,134,1,104.6541822721598,1666.7103620474406,
output/preprocessed_data/nudging_s200_p1.csv,202,11,191,0,0,0,18,1,105.64851485148515,1593.4554455445545,
output/preprocessed_data/nudging_s400_p1.csv,402,21,381,0,0,0,31,1,104.64179104477611,1612.8905472636816,
output/preprocessed_data/nudging_s800_p1.csv,802,41,761,0,0,0,60,1,106.44139650872818,1688.7443890274315,
output/preprocessed_data/software_s1600_p1.csv,1602,20,1582,0,0,0,0,0,80.08302122347067,895.6310861423221,
output/preprocessed_data/software_s200_p1.csv,202,3,199,0,0,0,0,0,78.65346534653466,887.1336633663366,
output/preprocessed_data/software_s3200_p1.csv,3202,38,3164,0,0,0,0,0,80.22392254840724,901.0281074328544,
output/preprocessed_data/software_s400_p1.csv,402,6,396,0,0,0,0,0,81.18159203980099,889.4527363184079,
output/preprocessed_data/software_s6400_p1.csv,6402,76,6326,0,0,0,0,0,80.42002499218994,899.2439862542956,
output/preprocessed_data/software_s800_p1.csv,802,10,792,0,0,0,0,0,80.26683291770574,901.3915211970075,
